State, X, Y
Jammu & Kashmir, -128.0, 218.0
Himachal Pradesh, -86.0, 183.0
Chandigarh, -118.0, 160.0
Uttarakhand, -54.0, 148.0
Haryana, -104.0, 129.0
Rajasthan, -164.0, 81.0
Uttar Pradesh, -32.0, 82.0
Bihar, 64.0, 59.0
Sikkim, 102.0, 99.0
Arunachal Pradesh, 198.0, 122.0
Assam, 170.0, 80.0
Nagaland, 207.0, 78.0
Manipur, 198.0, 52.0
Mizoram, 183.0, 21.0
Tripura, 161.0, 25.0
Meghalaya, 145.0, 61.0
West Bengal, 99.0, 11.0
Jharkhand, 50.0, 17.0
Odisha, 48.0, -40.0
Chhattisgarh, 1.0, -19.0
Madhya Pradesh, -77.0, 11.0
Gujarat, -196.0, 8.0
Maharashtra, -132.0, -64.0
Telangana, -55.0, -89.0
Andhra Pradesh, -52.0, -147.0
Karnataka, -120.0, -154.0
Goa, -154.0, -139.0
Kerela, -108.0, -234.0
Tamil Nadu, -67.0, -222.0